"id","title","authors","venue","year"
"journals/sigmod/Kemper02","Databases and Transaction Processing: An Application-Oriented Approach - Book Review","A Kemper","SIGMOD Record",2002
"conf/vldb/HvasshovdTBH95","The ClustRa Telecom Database: High Availability, High Throughput, and Real-Time Response","S Hvasshovd, � Torbj�rnsen, S Bratsberg, P Holager","VLDB",1995
"journals/sigmod/Kim02","Conceptual Modeling and Specification Generation for B2B Business Process based on ebXML","H Kim","SIGMOD Record",2002
"conf/vldb/LuSL95","NeuroRule: A Connectionist Approach to Data Mining","H Lu, R Setiono, H Liu","VLDB",1995
"journals/sigmod/ErdurD02","A Multi-Agent System Infrastructure for Software Component Market-Place: An Ontological Perspective","R Erdur, O Dikenelli","SIGMOD Record",2002
"conf/vldb/GallersdorferN95","Improving Performance in Replicated Databases through Relaxed Coherency","R Gallersd�rfer, M Nicola","VLDB",1995
"journals/sigmod/CiliaB02","An Active Functionality Service for E-Business Applications","M Cilia, A Buchmann","SIGMOD Record",2002
"journals/sigmod/HummerLW02","Contracting in the Days of eBusiness","W H�mmer, W Lehner, H Wedekind","SIGMOD Record",2002
"conf/vldb/LometT95","Redo Recovery after System Crashes","D Lomet, M Tuttle","VLDB",1995
"conf/vldb/Wang95","DB2 Query Parallelism: Staging and Implementation","Y Wang","VLDB",1995
"journals/sigmod/Winslett02a","David DeWitt Speaks Out","M Winslett","ecord",2002
"conf/vldb/SumiyaYTSI95","A Product Specification Database for Visual Prototyping","K Sumiya, K Yasutake, H Tanaka, N Sanada, Y Imai","VLDB",1995
"journals/sigmod/Camps02","From Ternary Relationship to Relational Tables: A Case Against Common Beliefs","R Camps","SIGMOD Record",2002
"conf/vldb/DidriksenGD95","Database De-Centralization - A Practical Approach","T Didriksen, C Galindo-Legaria, E Dahle","VLDB",1995
"journals/sigmod/HalkidiBV02","Cluster Validity Methods: Part I","M Halkidi, Y Batistakis, M Vazirgiannis","SIGMOD Record",2002
"journals/sigmod/PourabbasR02","A Pictorial Query Language for Querying Geographic Databases using Positional and OLAP Operators","E Pourabbas, M Rafanelli","SIGMOD Record",2002
"conf/vldb/HoelS95","Benchmarking Spatial Join Operations with Spatial Output","E Hoel, H Samet","VLDB",1995
"journals/sigmod/SlivinskasJS02","Bringing Order to Query Optimization","G Slivinskas, C Jensen, R Snodgrass","SIGMOD Record",2002
"conf/vldb/BrownS95","BigSur: A System For the Management of Earth Science Data","P Brown, M Stonebraker","VLDB",1995
"journals/sigmod/Liu02a","Editor's Notes","L Liu","SIGMOD Record",2002
"conf/vldb/LeslieJBY95","Efficient Search of Multi-Dimensional B-Trees","H Leslie, R Jain, D Birdsall, H Yaghmai","VLDB",1995
"journals/sigmod/CruzKLSWY02","Research Activities in Database Management and Information Retrieval at the University of Illinois at Chicago","I Cruz, A Khokhar, B Liu, A Sistla, O Wolfson, C Yu","SIGMOD Record",2002
"conf/vldb/OrensteinK95","Accessing a Relational Database through an Object-Oriented Database Interface","J Orenstein, D Kamber","VLDB",1995
"journals/sigmod/LuoI02","Interviewing During a Tight Job Market","N/A","N/A",2002
"conf/vldb/Lindsay95","DB2 Common Server: Technology, Progress, & Directions","B Lindsay","VLDB",1995
"journals/sigmod/Wiegand02","Investigating XQuery for Querying Across Database Object Types","N Wiegand","SIGMOD Record",2002
"conf/vldb/KonopnickiS95","W3QS: A Query System for the World-Wide Web","D Konopnicki, O Shmueli","VLDB",1995
"journals/sigmod/OrlandicLS02","The Design of a Retrieval Technique for High-Dimensional Data on Tertiary Storage","R Orlandic, J Lukaszuk, C Swietlik","SIGMOD Record",2002
"conf/vldb/WienerN95","OODB Bulk Loading Revisited: The Partitioned-List Approach","J Wiener, J Naughton","VLDB",1995
"journals/sigmod/Ozsu02","Chair's Message","N/A","N/A",2002
"conf/vldb/Korth95","The Double Life of the Transaction Abstraction: Fundamental Principle and Evolving System Concept","H Korth","VLDB",1995
"journals/sigmod/Fagin02","Combining Fuzzy Information: an Overview","R Fagin","SIGMOD Record",2002
"conf/vldb/ReuterCGSW95","Databases and Workflow Management: What is it All About? (Panel)","A Reuter, S Ceri, J Gray, B Salzberg, G Weikum","VLDB",1995
"conf/vldb/GoyalHSS95","Index Concurrency Control in Firm Real-Time Database Systems","B Goyal, J Haritsa, S Seshadri, V Srinivasan","VLDB",1995
"journals/sigmod/LaenderRST02","A Brief Survey of Web Data Extraction Tools","A Laender, B Ribeiro-Neto, A Silva, J Teixeira","SIGMOD Record",2002
"conf/vldb/BestavrosB95","Value-cognizant Speculative Concurrency Control","A Bestavros, S Braoudakis","VLDB",1995
"journals/sigmod/Goethals02","Data Warehousing and Business Intelligence for E-Commerce - Book Review","F Goethals","SIGMOD Record",2002
"journals/sigmod/BerzalM02","Data Mining: Concepts and Techniques - Book Review","F Galiano, N Mar�n","SIGMOD Record",2002
"conf/vldb/WuYCT95","A Performance Study of Workfile Disk Management for Concurrent Mergesorts in a Multiprocessor Database System","K Wu, P Yu, J Chung, J Teng","VLDB",1995
"conf/vldb/MogiK95","Hot Block Clustering for Disk Arrays with Dynamic Striping","K Mogi, M Kitsuregawa","VLDB",1995
"journals/sigmod/Aberer02a","Book Review Column","K Aberer","SIGMOD Record",2002
"journals/sigmod/Snodgrass02a","TODS Perceptions and Misconceptions","R Snodgrass","SIGMOD Record",2002
"conf/vldb/JonscherD94","An Approach for Building Secure Database Federations","D Jonscher, K Dittrich","VLDB",1994
"journals/sigmod/YaoG02","The Cougar Approach to In-Network Query Processing in Sensor Networks","Y Yao, J Gehrke","SIGMOD Record",2002
"conf/vldb/JagadishLRSS94","Dal�: A High Performance Main Memory Storage Manager","H Jagadish, D Lieuwen, R Rastogi, A Silberschatz, S Sudarshan","VLDB",1994
"journals/sigmod/Kuijpers02","Introduction to Constraint Databases - Book Review","N/A","N/A",2002
"conf/vldb/Galindo-LegariaPK94","Fast, Randomized Join-Order Selection - Why Use Transformations?","C Galindo-Legaria, A Pellenkoft, M Kersten","VLDB",1994
"journals/sigmod/Weikum02","Foundations of Statistical Natural Language Processing - Book Review","N/A","N/A",2002
"conf/vldb/WienerN94","Bulk Loading into an OODB: A Performance Study","J Wiener, J Naughton","VLDB",1994
"conf/vldb/NgH94","Efficient and Effective Clustering Methods for Spatial Data Mining","R Ng, J Han","VLDB",1994
"journals/sigmod/Neven02","Automata Theory for XML Researchers","F Neven","SIGMOD Record",2002
"journals/sigmod/WinslettCDHZZ02","Database Research at the University of Illinois at Urbana-Champaign","M Winslett, K Chang, A Doan, J Han, C Zhai, Y Zhou","SIGMOD Record",2002
"conf/vldb/BrownCC94","Fast Incremental Indexing for Full-Text Information Retrieval","E Brown, J Callan, W Croft","VLDB",1994
"journals/sigmod/Ozsu02a","Chair's Message","N/A","N/A",2002
"conf/vldb/FuC94","A Transaction Replication Scheme for a Replicated Database with Node Autonomy","A Fu, D Cheung","VLDB",1994
"journals/sigmod/Hammer02a","Treasurer's Message","N/A","N/A",2002
"conf/vldb/OuzzaniAB94","A Top-Down Approach for Two Level Serializability","M Ouzzani, M Atroun, N Belkhodja","VLDB",1994
"conf/vldb/FrohnLU94","Access to Objects by Path Expressions and Rules","J Frohn, G Lausen, H Uphoff","VLDB",1994
"journals/sigmod/SofferMC02","Report on the Mobile Search Workshop at WWW 2002","N/A","N/A",2002
"conf/vldb/Guting94","GraphDB: Modeling and Querying Graphs in Databases","R G�ting","VLDB",1994
"journals/sigmod/LeveneP02","Report on the Web Dynamics Workshop at WWW 2002","N/A","N/A",2002
"journals/sigmod/CrestaniG02","Report on the 24th European Colloquium on Information Retrieval Research","N/A","N/A",2002
"conf/vldb/GutierrezPST94","Database Graph Views: A Practical Model to Manage Persistent Graphs","A Guti�rrez, P Pucheral, H Steffen, J Th�venin","VLDB",1994
"conf/vldb/KemperK94","Dual-Buffering Strategies in Object Bases","A Kemper, D Kossmann","VLDB",1994
"journals/sigmod/MeltonMJKS02","SQL/MED - A Status Report","J Melton, J Michels, V Josifovski, K Kulkarni, P Schwarz","SIGMOD Record",2002
"journals/sigmod/Winslett02b","Hector Garcia-Molina Speaks Out","M Winslett","N/A",2002
"conf/vldb/JohnsonS94","2Q: A Low Overhead High Performance Buffer Management Replacement Algorithm","T Johnson, D Shasha","VLDB",1994
"conf/vldb/BarjaPFWD94","An Effective Deductive Object-Oriented Database Through Language Integration","M Barja, N Paton, A Fernandes, M Williams, A Dinn","VLDB",1994
"journals/sigmod/LightstoneLZ02","Toward Autonomic Computing with DB2 Universal Database","S Lightstone, G Lohman, D Zilio","SIGMOD Record",2002
"journals/sigmod/RossAJS02","Reminiscences on Influential Papers","N/A","N/A",2002
"conf/vldb/BaralisW94","An Algebraic Approach to Rule Analysis in Expert Database Systems","E Baralis, J Widom","VLDB",1994
"journals/sigmod/FrankNS02","Report on the Semantic Web Workshop at WWW 2002","N/A","N/A",2002
"conf/vldb/AgrawalS94","Fast Algorithms for Mining Association Rules in Large Databases","R Agrawal, R Srikant","VLDB",1994
"journals/sigmod/Badia02","Ontologies: A Silver Bullet for Knowledge Management and Electronic Commerce - Book Review","N/A","N/A",2002
"conf/vldb/HaberIL95","OPOSSUM: Desk-Top Schema Management through Customizable Visualization","E Haber, Y Ioannidis, M Livny","VLDB",1995
"journals/sigmod/GobleR02a","The Grid: An Application of the Semantic Web","C Goble, D Roure","SIGMOD Record",2002
"conf/vldb/AgrawalPWZ95","Querying Shapes of Histories","R Agrawal, G Psaila, E Wimmers, M Za�t","VLDB",1995
"journals/sigmod/Winslett02c","Interview with David Maier","N/A","N/A",2002
"conf/vldb/EvangelidisLS95","The hBP-tree: A Modified hB-tree Supporting Concurrency, Recovery and Node Consolidation","G Evangelidis, D Lomet, B Salzberg","VLDB",1995
"journals/sigmod/Wu02","Small Worlds: the Dynamics of Networks between Order and Randomness - Book Review","N/A","N/A",2002
"conf/vldb/KalusD95","Flexible Relations - Operational Support of Variant Relational Structures","C Kalus, P Dadam","VLDB",1995
"conf/vldb/Sarawagi95","Query Processing in Tertiary Memory Databases","S Sarawagi","VLDB",1995
"journals/sigmod/FininJ02","Agents, Turst, and Information Access on the Semantic Web","T Finin, A Joshi","SIGMOD Record",2002
"journals/sigmod/SureSS02","Methodology for Development and Employment of Ontology Based Knowledge Management Applications","Y Sure, S Staab, R Studer","SIGMOD Record",2002
"conf/vldb/Brin95","Near Neighbor Search in Large Metric Spaces","S Brin","VLDB",1995
"conf/vldb/RamakrishnanGRSWZ95","Scientific Journals: Extinction or Explosion? (Panel)","R Ramakrishnan, H Garcia-Molina, G Rossbach, A Silberschatz, G Wiederhold, J Zijlstra","VLDB",1995
"journals/sigmod/ButtlerCCFHLPRX02","Querying Multiple Bioinformatics Data Sources: Can Semantic Web Research Help?","D Buttler, M Coleman, T Critchlow, R Fileto, W Han, L Liu, C Pu, D Rocco, L Xiong","SIGMOD Record",2002
"journals/sigmod/AnyanwuS02","The p Operator: Discovering and Ranking Associations on the Semantic Web","K Anyanwu, A Sheth","SIGMOD Record",2002
"conf/vldb/SistlaYLL95","Similarity based Retrieval of Pictures Using Indices on Spatial Relationships","A Sistla, C Yu, C Liu, K Liu","VLDB",1995
"journals/sigmod/HalkidiBV02a","Clustering Validity Checking Methods: Part II","M Halkidi, Y Batistakis, M Vazirgiannis","SIGMOD Record",2002
"conf/vldb/Meier95","Providing Database Migration Tools - A Practicioner's Approach","A Meier","VLDB",1995
"journals/sigmod/Liu02b","Editor's Notes","L Liu","SIGMOD Record",2002
"conf/vldb/SeligmanBNSW95","Metrics for Accessing Heterogeneous Data: Is There Any Hope? (Panel)","L Seligman, N Belkin, E Neuhold, M Stonebraker, G Wiederhold","VLDB",1995
"conf/vldb/Vaskevitch95","Very Large Databases: How Large, How Different?","D Vaskevitch","VLDB",1995
"journals/sigmod/Aberer02b","Book Review Column","K Aberer","SIGMOD Record",2002
"journals/sigmod/HuangKL02","A Study on the Management of Semantic Transaction for Efficient Data Retrieval","S Huang, I Kwan, C Li","SIGMOD Record",2002
"conf/vldb/SimonD95","Promises and Realities of Active Database Systems","E Simon, A Dittrich","VLDB",1995
"conf/vldb/CatozziR95","OS Support for VLDBs: Unix Enhancements for the Teradata Data Base","J Catozzi, S Rabinovici","VLDB",1995
"journals/sigmod/RossAA02","Reminiscences on Influential Papers","N/A","N/A",2002
"journals/sigmod/Grohe02","Parameterized Complexity for the Database Theorist","M Grohe","SIGMOD Record",2002
"conf/vldb/Fecteau95","Managing a DB2 Parallel Edition Database","G Fecteau","VLDB",1995
"journals/sigmod/RoantreeS02","Research in Information Managment at Dublin City University","M Roantree, A Smeaton","SIGMOD Record",2002
"conf/vldb/Hallmark95","The Oracle Warehouse","G Hallmark","VLDB",1995
"conf/vldb/Spintzik95","Informix-Online XPS: A Dynamically Scalable RDBMS for Open Parallel Platforms","H Spintzik","VLDB",1995
"journals/sigmod/BoucelmaCGJLL02","Report on the EDBT'02 Panel on Scientific Data Integration","N/A","N/A",2002
"conf/vldb/AmielBDS94","Supporting Exceptions to Schema Consistency to Ease Schema Evolution in OODBMS","E Amiel, M Bellosta, E Dujardin, E Simon","VLDB",1994
"journals/sigmod/HanBP01","Wrapping Web Data into XML","W Han, D Buttler, C Pu","SIGMOD Record",2001
"journals/sigmod/Suciu01","On Database Theory and XML","D Suciu","SIGMOD Record",2001
"conf/vldb/ColletCS94","NAOS - Efficient and Modular Reactive Capabilities in an Object-Oriented Database System","C Collet, T Coupaye, T Svensen","VLDB",1994
"journals/sigmod/Fankhauser01","XQuery Formal Semantics: State and Challenges","P Fankhauser","SIGMOD Record",2001
"conf/vldb/BrownMCL94","Towards Automated Performance Tuning for Complex Workloads","K Brown, M Mehta, M Carey, M Livny","VLDB",1994
"journals/sigmod/SchmidtWKFCMB01","Why And How To Benchmark XML Databases","A Schmidt, F Waas, M Kersten, D Florescu, M Carey, I Manolescu, R Busse","SIGMOD Record",2001
"conf/vldb/LevyMS94","Query Optimization by Predicate Move-Around","A Levy, I Mumick, Y Sagiv","VLDB",1994
"journals/sigmod/Lomet01","The Evolution of Effective B-tree: Page Organization and Techniques: A Personal Account","D Lomet","SIGMOD Record",2001
"conf/vldb/HasanM94","Optimization Algorithms for Exploiting the Parallelism-Communication Tradeoff in Pipelined Parallelism","W Hasan, R Motwani","VLDB",1994
"journals/sigmod/TanakaV01","The Ecobase Project: Database and Web Technologies for Environmental Information Systems","A Tanaka, P Valduriez","SIGMOD Record",2001
"conf/vldb/MohaniaS94","Some Issues in Design of Distributed Deductive Databases","M Mohania, N Sarda","VLDB",1994
"conf/vldb/LiC94","Semantic Integration in Heterogeneous Databases Using Neural Networks","W Li, C Clifton","VLDB",1994
"journals/sigmod/ChienTZ01","XML Document Versioning","S Chien, V Tsotras, C Zaniolo","SIGMOD Record",2001
"conf/vldb/IdrisGC94","Providing Dynamic Security Control in a Federated Database","N Idris, W Gray, R Churchhouse","VLDB",1994
"journals/sigmod/LudascherMM01","Preservation of Digital Data with Self-Validating, Self-Instantiating Knowledge-Based Archives","B Lud�scher, R Marciano, R Moore","SIGMOD Record",2001
"journals/sigmod/ConstantopoulosCP01","Semantic Web Workshop: Models, Architectures and Management","N/A","N/A",2001
"conf/vldb/FerrandinaMZ94","Implementing Lazy Database Updates for an Object Database System","F Ferrandina, T Meyer, R Zicari","VLDB",1994
"conf/vldb/TeisseirePC94","Towards Event-Driven Modelling for Database Design","M Teisseire, P Poncelet, R Cicchetti","VLDB",1994
"journals/sigmod/RossHKRRSS01","Reminiscences on Influential Papers","N/A","N/A",2001
"journals/sigmod/Winslett01","Jeffrey D. Ullman Speaks Out on the Future of Higher Education, Startups, Database Theory, and More","N/A","N/A",2001
"conf/vldb/SetzerZ94","New Concurrency Control Algorithms for Accessing and Compacting B-Trees","V Setzer, A Zisman","VLDB",1994
"conf/vldb/GehaniJR94","OdeFS: A File System Interface to an Object-Oriented Database","N Gehani, H Jagadish, W Roome","VLDB",1994
"journals/sigmod/Bernstein01","Report on the 2001 SIGMOD and PODS Awards","N/A","N/A",2001
"journals/sigmod/BunemanFSW01","Constraints for Semi-structured Data and XML","P Buneman, W Fan, J Sim�on, S Weinstein","SIGMOD Record",2001
"conf/vldb/KilgerM94","Indexing Multiple Sets","C Kilger, G Moerkotte","VLDB",1994
"journals/sigmod/Liu01","Editor's Notes","N/A","N/A",2001
"conf/vldb/SreenathS94","The hcC-tree: An Efficient Index Structure for Object Oriented Databases","B Sreenath, S Seshadri","VLDB",1994
"conf/vldb/HoelS94","Performance of Data-Parallel Spatial Operations","E Hoel, H Samet","VLDB",1994
"journals/sigmod/EisenbergM01","SQL/XML and the SQLX Informal Group of Companies","A Eisenberg, J Melton","SIGMOD Record",2001
"journals/sigmod/BiancheriPP01","EIHA?!?: Deploying Web and WAP services using XML Technology","C Biancheri, J Pazzaglia, G Paddeu","SIGMOD Record",2001
"conf/vldb/BrinkhoffK94","The Impact of Global Clustering on Spatial Database Systems","T Brinkhoff, H Kriegel","VLDB",1994
"journals/sigmod/ShahMFH01","Java Support for Data-Intensive Systems: Experiences Building the Telegraph Dataflow System","M Shah, S Madden, M Franklin, J Hellerstein","SIGMOD Record",2001
"conf/vldb/MuntzR94","A Requirement-Based Approach to Data Modeling and Re-Engineering","A Muntz, C Ramiller","VLDB",1994
"journals/sigmod/MeltonE01","SQL Multimedia and Application Packages (SQL/MM)","J Melton, A Eisenberg","SIGMOD Record",2001
"conf/vldb/SteenhagenABB94","From Nested-Loop to Join Queries in OODB","H Steenhagen, P Apers, H Blanken, R By","VLDB",1994
"journals/sigmod/GunopulosK01","DIMACS Summer School Tutorial on New Frontiers in Data Mining","D Gunopulos, N Koudas","SIGMOD Record",2001
"conf/vldb/ChakravarthyKAK94","Composite Events for Active Databases: Semantics, Contexts and Detection","S Chakravarthy, V Krishnaprasad, E Anwar, S Kim","VLDB",1994
"journals/sigmod/LenzeriniNNS01","Report on the 8th International Workshop on Knowledge Representation Meets Databases (KRDB)","N/A","N/A",2001
"conf/vldb/OzdenBRS94","A Low-Cost Storage Server for Movie on Demand Databases","B �zden, A Biliris, R Rastogi, A Silberschatz","VLDB",1994
"journals/sigmod/Liu01a","Editor's Notes","L Liu","SIGMOD Record",2001
"conf/vldb/Chiueh94","Content-Based Image Indexing","T Chiueh","VLDB",1994
"conf/vldb/DeWittKLPY94","Client-Server Paradise","D DeWitt, N Kabra, J Luo, J Patel, J Yu","VLDB",1994
"journals/sigmod/ShethMKA01","Research in Multi-Organizational Processes and Semantic Information Brokering at the LSDIS Lab","A Sheth, J Miller, K Kochut, I Arpinar","SIGMOD Record",2001
"journals/sigmod/Cetintemel01","On the Academic Interview Circuit: An End-to-End Discussion","U �etintemel","SIGMOD Record",2001
"conf/vldb/SripadaW94","Cumulative Updates","S Sripada, B W�thrich","VLDB",1994
"conf/vldb/ShatdalKN94","Cache Conscious Algorithms for Relational Query Processing","A Shatdal, C Kant, J Naughton","VLDB",1994
"journals/sigmod/Labrinidis01","Introduction to the Career Forum Column","A Labrinidis","SIGMOD Record",2001
"conf/vldb/LevySSZ94","Challenges for Global Information Systems","A Levy, A Silberschatz, D Srivastava, M Zemankova","VLDB",1994
"journals/sigmod/BabuW01","Continuous Queries over Data Streams","S Babu, J Widom","SIGMOD Record",2001
"journals/sigmod/Huyn01","Data Analysis and Mining in the Life Sciences","N Huyn","SIGMOD Record",2001
"conf/vldb/GoodmanRS94","Building a Laboratory Information System Around a C++-Based Object-Oriented DBMS","N Goodman, S Rozen, L Stein","VLDB",1994
"conf/vldb/CochinwalaB94","A Multidatabase System for Tracking and Retrieval of Financial Data","M Cochinwala, J Bradley","VLDB",1994
"journals/sigmod/ShanmugasundaramSKKVNT01","A General Techniques for Querying XML Documents using a Relational Database System","J Shanmugasundaram, E Shekita, J Kiernan, R Krishnamurthy, S Viglas, J Naughton, I Tatarinov","SIGMOD Record",2001
"conf/vldb/BernsteinD94","An Overview of Repository Technology","P Bernstein, U Dayal","VLDB",1994
"journals/sigmod/Aberer01","Advanced XML Data Processing - Guest Editor's Introduction","K Aberer","SIGMOD Record",2001
"conf/vldb/IyerW94","Data Compression Support in Databases","B Iyer, D Wilhite","VLDB",1994
"journals/sigmod/Snodgrass01a","Accessibility of the Database Literature","R Snodgrass","SIGMOD Record",2001
"journals/sigmod/Hammer01","Treasurer's Message","N/A","N/A",2001
"conf/vldb/AnandBH94","An Empirical Performance Study of the Ingres Search Accelerator for a Large Property Management Database System","S Anand, D Bell, J Hughes","VLDB",1994
"journals/sigmod/Ozsu01","Chair's Message","N/A","N/A",2001
"conf/vldb/RosenthalS94","Data Integration in the Large: The Challenge of Reuse","A Rosenthal, L Seligman","VLDB",1994
"journals/sigmod/LabrinidisM01","Career-Enhancing Services at SIGMOD Online","A Labrinidis, A Mendelzon","SIGMOD Record",2001
"conf/vldb/Lesk94","Experiments on Access to Digital Libraries: How can Images and Text be Used Together","M Lesk","VLDB",1994
"conf/vldb/Bernstein94","PC Database Systems - Present and Future","P Bernstein","VLDB",1994
"journals/sigmod/Liu01b","Editor's Notes","L Liu","SIGMOD Record",2001
"journals/sigmod/StolfoLCFE01","Data Mining-based Intrusion Detectors: An Overview of the Columbia IDS Project","S Stolfo, W Lee, P Chan, W Fan, E Eskin","SIGMOD Record",2001
"conf/sigmod/BabcockO03","Distributed Top-K Monitoring","B Babcock, C Olston","SIGMOD Conference",2003
"conf/sigmod/DasGR03","Approximate Join Processing Over Data Streams","A Das, J Gehrke, M Riedewald","SIGMOD Conference",2003
"journals/sigmod/BarbaraCJW01","ADAM: A Testbed for Exploring the Use of Data Mining in Intrusion Detection","D Barbar�, J Couto, S Jajodia, N Wu","SIGMOD Record",2001
"journals/sigmod/CabreraLM01","Detection and Classification of Intrusions and Faults using Sequences of System Calls","J Cabrera, L Lewis, R Mehra","SIGMOD Record",2001
"conf/sigmod/WangJLY03","Containment Join Size Estimation: Models and Methods","W Wang, H Jiang, H Lu, J Yu","SIGMOD Conference",2003
"conf/vldb/MartinC94","Relating Distributed Objects","B Martin, R Cattell","VLDB",1994
"journals/sigmod/Aberer01a","Book Review Column","K Aberer","SIGMOD Record",2001
"conf/vldb/YanA94","Integrating a Structured-Text Retrieval System with an Object-Oriented Database System","T Yan, J Annevelink","VLDB",1994
"journals/sigmod/Cardelli01","Describing Semistructured Data","L Cardelli","SIGMOD Record",2001
"journals/sigmod/Ozsu01a","Chair's Message","N/A","N/A",2001
"conf/vldb/Spaccapietra94","\User Interfaces; Who Cares?\""""","S Spaccapietra","VLDB",1994
"journals/sigmod/Barbara01","Special Issue on Data Mining for Intrusion Detection and Threat Analysis - Guest Editor's Introduction","N/A","N/A",2001
"conf/vldb/ZemankovaI94","Scientific Databases - State of the Art and Future Directions","M Zemankova, Y Ioannidis","VLDB",1994
"journals/sigmod/LeeF01","Mining System Audit Data: Opportunities and Challenges","W Lee, W Fan","SIGMOD Record",2001
"conf/sigmod/FaginKS03","Efficient similarity search and classification via rank aggregation","R Fagin, R Kumar, D Sivakumar","SIGMOD Conference",2003
"journals/sigmod/SayginVC01","Using Unknowns to Prevent Discovery of Association Rules","Y Saygin, V Verykios, C Clifton","SIGMOD Record",2001
"conf/sigmod/ArasuG03","Extracting Structured Data from Web Pages","A Arasu, H Garcia-Molina","SIGMOD Conference",2003
"conf/sigmod/ChaudhuriGS03","Factorizing Complex Predicates in Queries to Exploit Indexes","S Chaudhuri, P Ganesan, S Sarawagi","SIGMOD Conference",2003
"journals/sigmod/VelACM01","Mining Email Content for Author Identification Forensics","O Vel, A Anderson, M Corney, G Mohay","SIGMOD Record",2001
"journals/sigmod/Scholl01","Transactional Information Systems - Book Review","N/A","N/A",2001
"conf/sigmod/IlyasRLGL03","Estimating Compilation Time of a Query Optimizer","I Ilyas, J Rao, G Lohman, D Gao, E Lin","SIGMOD Conference",2003
"conf/sigmod/DeligiannakisR03","Extended Wavelets for Multiple Measures","A Deligiannakis, N Roussopoulos","SIGMOD Conference",2003
"journals/sigmod/Jagadish01","Information Warfare and Security - Book Review","N/A","N/A",2001
"journals/sigmod/Winslett01a","Gio Wiederhold Speaks Out on Moving into Academia in Mid-Career, How to Be an Effective Consultant, Why You Should Be a Program Manager as a Funding Agency, the Need for Ontology Algebra and Simulations, and More","N/A","N/A",2001
"conf/sigmod/BabcockBDM03","Chain : Operator Scheduling for Memory Minimization in Data Stream Systems","B Babcock, S Babu, M Datar, R Motwani","SIGMOD Conference",2003
"journals/sigmod/LohmanGFS01","SIGMOD 2001 Industry Sessions","G Lohman, C Galindo-Legaria, M Franklin, L Seligman","SIGMOD Record",2001
"conf/sigmod/BenediktCFFR03","Capturing both Types and Constraints in Data Integration","M Benedikt, C Chan, W Fan, J Freire, R Rastogi","SIGMOD Conference",2003
"journals/sigmod/RossHLW01","Reminiscences on Influential Papers","N/A","N/A",2001
